,tweet_id,handle,retweet_count,text,mined_at,created_at
89,974344409377460224,JeffBezos,159,Thank you to the @NatReconOfc for having me over to speak. You don’t want to even imagine the world without these p… https://t.co/X94rr9Entk,2021-08-03 16:36:42.400558,Thu Mar 15 17:59:44 +0000 2018
90,973696994332983299,JeffBezos,1036,"New test video of Blue’s 550K lbf thrust, ox-rich staged combustion, LNG-fueled BE-4 engine. The test is a mixture… https://t.co/ui39I7rJao",2021-08-03 16:36:42.400558,Tue Mar 13 23:07:08 +0000 2018
91,972561435036344320,JeffBezos,876,Kirk or Picard? Picard! #FinalFrontier #GoBoldly https://t.co/mEohTVuKIs,2021-08-03 16:36:42.400558,Sat Mar 10 19:54:50 +0000 2018
92,966312919079112705,JeffBezos,1370,Happy to announce that Amazon Studios is adapting Iain M. Banks’ amazing Culture series — a huge personal favorite… https://t.co/iMESIiiT2O,2021-08-03 16:36:42.400558,Wed Feb 21 14:05:27 +0000 2018
93,965957024109379602,JeffBezos,3623,"Installation has begun—500 ft tall, all mechanical, powered by day/night thermal cycles, synchronized at solar noon… https://t.co/8pLA41nGZN",2021-08-03 16:36:42.400558,Tue Feb 20 14:31:15 +0000 2018
94,961033484536971264,JeffBezos,400,@elonmusk @SpaceX @blueorigin Woohoo! 🚀🚀🚀,2021-08-03 16:36:42.400558,Wed Feb 07 00:26:52 +0000 2018
95,960521086298238976,JeffBezos,2514,"Best of luck @SpaceX with the Falcon Heavy launch tomorrow – hoping for a beautiful, nominal flight! @BlueOrigin #GradatimFerociter",2021-08-03 16:36:42.400558,Mon Feb 05 14:30:47 +0000 2018
96,959796196247142400,JeffBezos,2947,The stunning Perito Moreno Glacier in Patagonia. We’ve sent robotic probes to every planet in this solar system. Ea… https://t.co/OUrv1OUVXC,2021-08-03 16:36:42.400558,Sat Feb 03 14:30:19 +0000 2018
97,950156231414394881,JeffBezos,294,"Wishing best of luck tonight to THE MARVELOUS MRS MAISEL, Rachel Brosnahan, Kevin Bacon, and to the whole cast and… https://t.co/JyhA5xOmX6",2021-08-03 16:36:42.400558,Mon Jan 08 00:04:33 +0000 2018
98,946109222135128064,JeffBezos,738,Turns out our Amazon fulfillment center associates in Madrid can dance… And one got a big surprise at the end! Love… https://t.co/bcLZSLN1ve,2021-08-03 16:36:42.400558,Wed Dec 27 20:03:11 +0000 2017
99,941467037905272833,JeffBezos,626,First use of our landing pad bot #Blue2D2. @blueorigin https://t.co/Ht2P7yVwEs,2021-08-03 16:36:42.400558,Fri Dec 15 00:36:48 +0000 2017
100,941465587049406464,JeffBezos,720,"Full video of Mannequin Skywalker’s ride to space. Unlike him, you’ll be able to get out of your seat during the ze… https://t.co/a2uPiPTfFJ",2021-08-03 16:36:42.400558,Fri Dec 15 00:31:02 +0000 2017
101,940792988095139841,JeffBezos,1846,#NewShepard had a successful first flight of Crew Capsule 2.0 today. Complete with windows and our instrumented tes… https://t.co/dh5G80crSa,2021-08-03 16:36:42.400558,Wed Dec 13 03:58:22 +0000 2017
102,936360685788733440,JeffBezos,597,"Of all the news coming out of AWS #reInvent this week, I hope you didn’t miss this one. Set a Guinness World Record… https://t.co/ZXBEWl6hnV",2021-08-03 16:36:42.400558,Thu Nov 30 22:25:58 +0000 2017
103,932270037657726976,JeffBezos,1963,"Ten years ago today, we launched the first-ever Kindle. Happy 10th birthday @AmazonKindle and thank you to all the… https://t.co/TLYTGWVhc1",2021-08-03 16:36:42.400558,Sun Nov 19 15:31:12 +0000 2017
104,930134795304148992,JeffBezos,3324,Amazon Prime heads to Middle Earth. https://t.co/QowUmf8t3S https://t.co/YVciEX3u2t,2021-08-03 16:36:42.400558,Mon Nov 13 18:06:30 +0000 2017
105,929139251152699392,JeffBezos,110,"Thank you and your boys for your service, Casey! https://t.co/1OhL3D4ijJ",2021-08-03 16:36:42.400558,Sat Nov 11 00:10:34 +0000 2017
106,928623239110082560,JeffBezos,968,"Thank you to the 17,500 veterans and military spouses now working at Amazon. We set a goal last year to hire 25,000… https://t.co/1mBCyrFvuc",2021-08-03 16:36:42.400558,Thu Nov 09 14:00:07 +0000 2017
107,926509741932720128,JeffBezos,392,Congrats to the @BestBuy team on their new Alexa skill. Customers can now find and shop Best Buy deals on Alexa. Ni… https://t.co/lKwYujIaKR,2021-08-03 16:36:42.400558,Fri Nov 03 18:01:50 +0000 2017
108,921439650287423489,JeffBezos,507,And the winner for best news website is … @WashingtonPost. And more. Big congrats to the whole team! #DMNA17 https://t.co/BtridtXjeM,2021-08-03 16:36:42.400558,Fri Oct 20 18:15:06 +0000 2017
109,921114359119560704,JeffBezos,719,First hotfire of our BE-4 engine is a success. Huge kudos to the whole @BlueOrigin team for this important step!… https://t.co/YZEVT60TlI,2021-08-03 16:36:42.400558,Thu Oct 19 20:42:31 +0000 2017
110,920999561564274688,JeffBezos,4518,Fun day christening Amazon’s latest wind farm. #RenewableEnergy https://t.co/cTxeXdsFop,2021-08-03 16:36:42.400558,Thu Oct 19 13:06:21 +0000 2017
111,915975473573720065,JeffBezos,633,"Long my favorite novel. Teaches pain of regret so well you will think you lived it. Congrats, Mr. Ishiguro, so earn… https://t.co/mlCeIVTbBi",2021-08-03 16:36:42.400558,Thu Oct 05 16:22:25 +0000 2017
112,915046109298520064,JeffBezos,3514,Amazon plane packed with donation of critical supplies landed earlier today in San Juan. Thank you to all the Amazo… https://t.co/QAAthzlznu,2021-08-03 16:36:42.400558,Tue Oct 03 02:49:27 +0000 2017
113,914951991431880704,JeffBezos,396,Thoughts with all those affected in Las Vegas. So much gratitude to all the police &amp; good Samaritans who put their lives on the line to help,2021-08-03 16:36:42.400558,Mon Oct 02 20:35:28 +0000 2017
114,911304409803522048,JeffBezos,561,"Future engineer, 9-year-old Ryan, signs Amazon gold robot he helped build at another ""30 Days, 30 Smiles"" event… https://t.co/wuOjPzaKoL",2021-08-03 16:36:42.400558,Fri Sep 22 19:01:17 +0000 2017
115,908124621391618050,JeffBezos,444,".@Amazon supporting “30 Days, 30 Smiles” with @Accorg. Today, a surprise visit to @BlueOrigin. #BeatPediatricCancer https://t.co/RErtOuuJDm",2021-08-03 16:36:42.400558,Thu Sep 14 00:25:56 +0000 2017
116,902898556456943616,JeffBezos,1828,Alexa has made a new friend https://t.co/r7o46eVJq0,2021-08-03 16:36:42.400558,Wed Aug 30 14:19:25 +0000 2017
117,901865101761884161,JeffBezos,245,https://t.co/LvRG16ZhbF,2021-08-03 16:36:42.400558,Sun Aug 27 17:52:50 +0000 2017
118,895714205822730241,JeffBezos,1138,A pleasure to host #SecDef James Mattis at Amazon HQ in Seattle today https://t.co/JnQZoSOnFN,2021-08-03 16:36:42.400558,Thu Aug 10 18:31:22 +0000 2017
119,895324443500609536,JeffBezos,222,Couldn’t happen to a nicer guy. Congratulations @jeffreytambor! https://t.co/543RCTusqX,2021-08-03 16:36:42.400558,Wed Aug 09 16:42:36 +0000 2017
120,893628626725294080,JeffBezos,77,Awesome! Good luck this weekend @JimmyShane1! https://t.co/EFor5kuYLn,2021-08-03 16:36:42.400558,Sat Aug 05 00:24:02 +0000 2017
121,892774250272112641,JeffBezos,756,Incredible turnout to see the first booster ever to fly into space and land vertically upon the Earth. #BlueOrigin… https://t.co/Vzw0UfFwhc,2021-08-03 16:36:42.400558,Wed Aug 02 15:49:02 +0000 2017
122,886779647660179457,JeffBezos,152,Mike Collins cracking us all up last night. https://t.co/bnpHp0ZCK4,2021-08-03 16:36:42.400558,Mon Jul 17 02:48:38 +0000 2017
123,886779328096116736,JeffBezos,261,"Huge thanks from the whole @BlueOrigin team, Buzz https://t.co/LRKyd5ncil",2021-08-03 16:36:42.400558,Mon Jul 17 02:47:22 +0000 2017
